_id,co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
105,2700102,Água Branca,2011,Frota,veículos,1.1.4. Caminhão trator,2
106,2700102,Água Branca,2011,Frota,veículos,1.1.5. Caminhonete,358
107,2700102,Água Branca,2011,Frota,veículos,1.1.6. Camioneta,15
108,2700102,Água Branca,2011,Frota,veículos,1.1.7. Chassi plataforma,0
109,2700102,Água Branca,2011,Frota,veículos,1.1.8. Ciclomotor,0
110,2700102,Água Branca,2011,Frota,veículos,1.1.9. Micro-ônibus,66
111,2700102,Água Branca,2012,Frota,veículos,1. Veículo,2370
112,2700102,Água Branca,2012,Frota,veículos,1.1.1. Automóvel,414
113,2700102,Água Branca,2012,Frota,veículos,1.1.10. Motocicleta,1321
114,2700102,Água Branca,2012,Frota,veículos,1.1.11. Motoneta,82
115,2700102,Água Branca,2012,Frota,veículos,1.1.12. Ônibus,8
116,2700102,Água Branca,2012,Frota,veículos,1.1.13. Quadriciclo,0
117,2700102,Água Branca,2012,Frota,veículos,1.1.14. Reboque,7
118,2700102,Água Branca,2012,Frota,veículos,1.1.15. Semi-reboque,4
119,2700102,Água Branca,2012,Frota,veículos,1.1.16. Sidecar,0
120,2700102,Água Branca,2012,Frota,veículos,1.1.17. Trator de esteira,0
121,2700102,Água Branca,2012,Frota,veículos,1.1.18. Trator de rodas,0
122,2700102,Água Branca,2012,Frota,veículos,1.1.19. Triciclo,0
123,2700102,Água Branca,2012,Frota,veículos,1.1.2. Bonde,0
124,2700102,Água Branca,2012,Frota,veículos,1.1.20. Utilitário,2
125,2700102,Água Branca,2012,Frota,veículos,1.1.21. Outros,0
126,2700102,Água Branca,2012,Frota,veículos,1.1.3. Caminhão,58
127,2700102,Água Branca,2012,Frota,veículos,1.1.4. Caminhão trator,2
128,2700102,Água Branca,2012,Frota,veículos,1.1.5. Caminhonete,387
129,2700102,Água Branca,2012,Frota,veículos,1.1.6. Camioneta,21
130,2700102,Água Branca,2012,Frota,veículos,1.1.7. Chassi plataforma,0
131,2700102,Água Branca,2012,Frota,veículos,1.1.8. Ciclomotor,0
132,2700102,Água Branca,2012,Frota,veículos,1.1.9. Micro-ônibus,64
133,2700102,Água Branca,2013,Frota,veículos,1. Veículo,2707
134,2700102,Água Branca,2013,Frota,veículos,1.1.1. Automóvel,497
135,2700102,Água Branca,2013,Frota,veículos,1.1.10. Motocicleta,1512
136,2700102,Água Branca,2013,Frota,veículos,1.1.11. Motoneta,101
137,2700102,Água Branca,2013,Frota,veículos,1.1.12. Ônibus,10
138,2700102,Água Branca,2013,Frota,veículos,1.1.13. Quadriciclo,0
139,2700102,Água Branca,2013,Frota,veículos,1.1.14. Reboque,7
140,2700102,Água Branca,2013,Frota,veículos,1.1.15. Semi-reboque,4
141,2700102,Água Branca,2013,Frota,veículos,1.1.16. Sidecar,0
142,2700102,Água Branca,2013,Frota,veículos,1.1.17. Trator de esteira,0
143,2700102,Água Branca,2013,Frota,veículos,1.1.18. Trator de rodas,0
144,2700102,Água Branca,2013,Frota,veículos,1.1.19. Triciclo,0
145,2700102,Água Branca,2013,Frota,veículos,1.1.2. Bonde,0
146,2700102,Água Branca,2013,Frota,veículos,1.1.20. Utilitário,2
147,2700102,Água Branca,2013,Frota,veículos,1.1.21. Outros,0
148,2700102,Água Branca,2013,Frota,veículos,1.1.3. Caminhão,60
149,2700102,Água Branca,2013,Frota,veículos,1.1.4. Caminhão trator,2
150,2700102,Água Branca,2013,Frota,veículos,1.1.5. Caminhonete,423
151,2700102,Água Branca,2013,Frota,veículos,1.1.6. Camioneta,26
152,2700102,Água Branca,2013,Frota,veículos,1.1.7. Chassi plataforma,0
153,2700102,Água Branca,2013,Frota,veículos,1.1.8. Ciclomotor,0
154,2700102,Água Branca,2013,Frota,veículos,1.1.9. Micro-ônibus,63
155,2700102,Água Branca,2014,Frota,veículos,1. Veículo,3098
156,2700102,Água Branca,2014,Frota,veículos,1.1.1. Automóvel,609
157,2700102,Água Branca,2014,Frota,veículos,1.1.10. Motocicleta,1741
158,2700102,Água Branca,2014,Frota,veículos,1.1.11. Motoneta,109
159,2700102,Água Branca,2014,Frota,veículos,1.1.12. Ônibus,10
160,2700102,Água Branca,2014,Frota,veículos,1.1.13. Quadriciclo,0
161,2700102,Água Branca,2014,Frota,veículos,1.1.14. Reboque,8
162,2700102,Água Branca,2014,Frota,veículos,1.1.15. Semi-reboque,5
163,2700102,Água Branca,2014,Frota,veículos,1.1.16. Sidecar,0
164,2700102,Água Branca,2014,Frota,veículos,1.1.17. Trator de esteira,0
165,2700102,Água Branca,2014,Frota,veículos,1.1.18. Trator de rodas,0
166,2700102,Água Branca,2014,Frota,veículos,1.1.19. Triciclo,0
167,2700102,Água Branca,2014,Frota,veículos,1.1.2. Bonde,0
168,2700102,Água Branca,2014,Frota,veículos,1.1.20. Utilitário,1
169,2700102,Água Branca,2014,Frota,veículos,1.1.21. Outros,0
170,2700102,Água Branca,2014,Frota,veículos,1.1.3. Caminhão,68
171,2700102,Água Branca,2014,Frota,veículos,1.1.4. Caminhão trator,2
172,2700102,Água Branca,2014,Frota,veículos,1.1.5. Caminhonete,451
173,2700102,Água Branca,2014,Frota,veículos,1.1.6. Camioneta,27
174,2700102,Água Branca,2014,Frota,veículos,1.1.7. Chassi plataforma,0
175,2700102,Água Branca,2014,Frota,veículos,1.1.8. Ciclomotor,0
176,2700102,Água Branca,2014,Frota,veículos,1.1.9. Micro-ônibus,67
177,2700102,Água Branca,2015,Frota,veículos,1. Veículo,3392
178,2700102,Água Branca,2015,Frota,veículos,1.1.1. Automóvel,721
179,2700102,Água Branca,2015,Frota,veículos,1.1.10. Motocicleta,1884
180,2700102,Água Branca,2015,Frota,veículos,1.1.11. Motoneta,121
181,2700102,Água Branca,2015,Frota,veículos,1.1.12. Ônibus,11
182,2700102,Água Branca,2015,Frota,veículos,1.1.13. Quadriciclo,0
183,2700102,Água Branca,2015,Frota,veículos,1.1.14. Reboque,11
184,2700102,Água Branca,2015,Frota,veículos,1.1.15. Semi-reboque,7
185,2700102,Água Branca,2015,Frota,veículos,1.1.16. Sidecar,0
186,2700102,Água Branca,2015,Frota,veículos,1.1.17. Trator de esteira,0
187,2700102,Água Branca,2015,Frota,veículos,1.1.18. Trator de rodas,0
188,2700102,Água Branca,2015,Frota,veículos,1.1.19. Triciclo,0
189,2700102,Água Branca,2015,Frota,veículos,1.1.2. Bonde,0
190,2700102,Água Branca,2015,Frota,veículos,1.1.20. Utilitário,1
191,2700102,Água Branca,2015,Frota,veículos,1.1.21. Outros,0
192,2700102,Água Branca,2015,Frota,veículos,1.1.3. Caminhão,69
193,2700102,Água Branca,2015,Frota,veículos,1.1.4. Caminhão trator,2
194,2700102,Água Branca,2015,Frota,veículos,1.1.5. Caminhonete,466
195,2700102,Água Branca,2015,Frota,veículos,1.1.6. Camioneta,30
196,2700102,Água Branca,2015,Frota,veículos,1.1.7. Chassi plataforma,0
197,2700102,Água Branca,2015,Frota,veículos,1.1.8. Ciclomotor,0
198,2700102,Água Branca,2015,Frota,veículos,1.1.9. Micro-ônibus,69
199,2700102,Água Branca,2016,Frota,veículos,1. Veículo,3641
200,2700102,Água Branca,2016,Frota,veículos,1.1.1. Automóvel,804
201,2700102,Água Branca,2016,Frota,veículos,1.1.10. Motocicleta,2020
202,2700102,Água Branca,2016,Frota,veículos,1.1.11. Motoneta,121
203,2700102,Água Branca,2016,Frota,veículos,1.1.12. Ônibus,11
204,2700102,Água Branca,2016,Frota,veículos,1.1.13. Quadriciclo,0
205,2700102,Água Branca,2016,Frota,veículos,1.1.14. Reboque,13
206,2700102,Água Branca,2016,Frota,veículos,1.1.15. Semi-reboque,8
207,2700102,Água Branca,2016,Frota,veículos,1.1.16. Sidecar,0
208,2700102,Água Branca,2016,Frota,veículos,1.1.17. Trator de esteira,0
209,2700102,Água Branca,2016,Frota,veículos,1.1.18. Trator de rodas,0
210,2700102,Água Branca,2016,Frota,veículos,1.1.19. Triciclo,0
211,2700102,Água Branca,2016,Frota,veículos,1.1.2. Bonde,0
212,2700102,Água Branca,2016,Frota,veículos,1.1.20. Utilitário,1
213,2700102,Água Branca,2016,Frota,veículos,1.1.21. Outros,0
214,2700102,Água Branca,2016,Frota,veículos,1.1.3. Caminhão,71
215,2700102,Água Branca,2016,Frota,veículos,1.1.4. Caminhão trator,2
216,2700102,Água Branca,2016,Frota,veículos,1.1.5. Caminhonete,484
217,2700102,Água Branca,2016,Frota,veículos,1.1.6. Camioneta,33
218,2700102,Água Branca,2016,Frota,veículos,1.1.7. Chassi plataforma,0
219,2700102,Água Branca,2016,Frota,veículos,1.1.8. Ciclomotor,0
220,2700102,Água Branca,2016,Frota,veículos,1.1.9. Micro-ônibus,73
221,2700102,Água Branca,2017,Frota,veículos,1. Veículo,3852
