_id,co_mun,no_mun,ano,variavel,produto_tipo,produto_variavel,valor
173,2700201,Anadia,2016.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)",Valor da produção (Mil Reais),...
174,2700201,Anadia,2016.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc) (Nenhuma)",Produção da aquicultura,...
175,2700201,Anadia,2016.0,Aquicultura,Pacu e patinga,Valor da produção (Mil Reais),...
176,2700201,Anadia,2016.0,Aquicultura,Pacu e patinga (Quilogramas),Produção da aquicultura,...
177,2700201,Anadia,2016.0,Aquicultura,"Piau, piapara, piauçu, piava",Valor da produção (Mil Reais),...
178,2700201,Anadia,2016.0,Aquicultura,"Piau, piapara, piauçu, piava (Quilogramas)",Produção da aquicultura,...
179,2700201,Anadia,2016.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim",Valor da produção (Mil Reais),...
180,2700201,Anadia,2016.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim (Quilogramas)",Produção da aquicultura,...
181,2700201,Anadia,2016.0,Aquicultura,Pirapitinga,Valor da produção (Mil Reais),...
182,2700201,Anadia,2016.0,Aquicultura,Pirapitinga (Quilogramas),Produção da aquicultura,...
183,2700201,Anadia,2016.0,Aquicultura,Pirarucu,Valor da produção (Mil Reais),...
184,2700201,Anadia,2016.0,Aquicultura,Pirarucu (Quilogramas),Produção da aquicultura,...
185,2700201,Anadia,2016.0,Aquicultura,Sementes de moluscos,Valor da produção (Mil Reais),...
186,2700201,Anadia,2016.0,Aquicultura,Sementes de moluscos (Milheiros),Produção da aquicultura,...
187,2700201,Anadia,2016.0,Aquicultura,"Tambacu, tambatinga",Valor da produção (Mil Reais),...
188,2700201,Anadia,2016.0,Aquicultura,"Tambacu, tambatinga (Quilogramas)",Produção da aquicultura,...
189,2700201,Anadia,2016.0,Aquicultura,Tambaqui,Valor da produção (Mil Reais),...
190,2700201,Anadia,2016.0,Aquicultura,Tambaqui (Quilogramas),Produção da aquicultura,...
191,2700201,Anadia,2016.0,Aquicultura,Tilápia,Valor da produção (Mil Reais),...
192,2700201,Anadia,2016.0,Aquicultura,Tilápia (Quilogramas),Produção da aquicultura,...
193,2700201,Anadia,2016.0,Aquicultura,Total,Produção da aquicultura,..
194,2700201,Anadia,2016.0,Aquicultura,Total,Valor da produção (Mil Reais),...
195,2700201,Anadia,2016.0,Aquicultura,Traíra e trairão,Valor da produção (Mil Reais),...
196,2700201,Anadia,2016.0,Aquicultura,Traíra e trairão (Quilogramas),Produção da aquicultura,...
197,2700201,Anadia,2016.0,Aquicultura,Truta,Valor da produção (Mil Reais),...
198,2700201,Anadia,2016.0,Aquicultura,Truta (Quilogramas),Produção da aquicultura,...
199,2700201,Anadia,2016.0,Aquicultura,Tucunaré,Valor da produção (Mil Reais),...
200,2700201,Anadia,2016.0,Aquicultura,Tucunaré (Quilogramas),Produção da aquicultura,...
201,2700201,Anadia,2017.0,Aquicultura,Alevinos,Valor da produção (Mil Reais),...
202,2700201,Anadia,2017.0,Aquicultura,Alevinos (Milheiros),Produção da aquicultura,...
203,2700201,Anadia,2017.0,Aquicultura,Camarão,Valor da produção (Mil Reais),...
204,2700201,Anadia,2017.0,Aquicultura,Camarão (Quilogramas),Produção da aquicultura,...
205,2700201,Anadia,2017.0,Aquicultura,Carpa,Valor da produção (Mil Reais),...
206,2700201,Anadia,2017.0,Aquicultura,Carpa (Quilogramas),Produção da aquicultura,...
207,2700201,Anadia,2017.0,Aquicultura,"Curimatã, curimbatá",Valor da produção (Mil Reais),...
208,2700201,Anadia,2017.0,Aquicultura,"Curimatã, curimbatá (Quilogramas)",Produção da aquicultura,...
209,2700201,Anadia,2017.0,Aquicultura,Dourado,Valor da produção (Mil Reais),...
210,2700201,Anadia,2017.0,Aquicultura,Dourado (Quilogramas),Produção da aquicultura,...
211,2700201,Anadia,2017.0,Aquicultura,"Jatuarana, piabanha e piracanjuba",Valor da produção (Mil Reais),...
212,2700201,Anadia,2017.0,Aquicultura,"Jatuarana, piabanha e piracanjuba (Quilogramas)",Produção da aquicultura,...
213,2700201,Anadia,2017.0,Aquicultura,Lambari,Valor da produção (Mil Reais),...
214,2700201,Anadia,2017.0,Aquicultura,Lambari (Quilogramas),Produção da aquicultura,...
215,2700201,Anadia,2017.0,Aquicultura,Larvas e pós-larvas de camarão,Valor da produção (Mil Reais),...
216,2700201,Anadia,2017.0,Aquicultura,Larvas e pós-larvas de camarão (Milheiros),Produção da aquicultura,...
217,2700201,Anadia,2017.0,Aquicultura,Matrinxã,Valor da produção (Mil Reais),...
218,2700201,Anadia,2017.0,Aquicultura,Matrinxã (Quilogramas),Produção da aquicultura,...
219,2700201,Anadia,2017.0,Aquicultura,"Ostras, vieiras e mexilhões",Valor da produção (Mil Reais),...
220,2700201,Anadia,2017.0,Aquicultura,"Ostras, vieiras e mexilhões (Quilogramas)",Produção da aquicultura,...
221,2700201,Anadia,2017.0,Aquicultura,Outros peixes,Valor da produção (Mil Reais),...
222,2700201,Anadia,2017.0,Aquicultura,Outros peixes (Quilogramas),Produção da aquicultura,...
223,2700201,Anadia,2017.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)",Valor da produção (Mil Reais),...
