_id,co_uf,no_uf,ano,variavel,inf_categoria,inf_subcategoria,valor
206,11.0,Rondônia,2016,Frota,veículos,1.1.15. Semi-reboque,11170
207,11.0,Rondônia,2016,Frota,veículos,1.1.16. Sidecar,40
208,11.0,Rondônia,2016,Frota,veículos,1.1.17. Trator de esteira,1
209,11.0,Rondônia,2016,Frota,veículos,1.1.18. Trator de rodas,43
210,11.0,Rondônia,2016,Frota,veículos,1.1.19. Triciclo,311
211,11.0,Rondônia,2016,Frota,veículos,1.1.2. Bonde,0
212,11.0,Rondônia,2016,Frota,veículos,1.1.20. Utilitário,3084
213,11.0,Rondônia,2016,Frota,veículos,1.1.21. Outros,40
214,11.0,Rondônia,2016,Frota,veículos,1.1.3. Caminhão,29982
215,11.0,Rondônia,2016,Frota,veículos,1.1.4. Caminhão trator,6135
216,11.0,Rondônia,2016,Frota,veículos,1.1.5. Caminhonete,83100
217,11.0,Rondônia,2016,Frota,veículos,1.1.6. Camioneta,11403
218,11.0,Rondônia,2016,Frota,veículos,1.1.7. Chassi plataforma,8
219,11.0,Rondônia,2016,Frota,veículos,1.1.8. Ciclomotor,2281
220,11.0,Rondônia,2016,Frota,veículos,1.1.9. Micro-ônibus,1204
221,11.0,Rondônia,2017,Frota,veículos,1. Veículo,941218
222,11.0,Rondônia,2017,Frota,veículos,1.1.1. Automóvel,266709
223,11.0,Rondônia,2017,Frota,veículos,1.1.10. Motocicleta,381743
224,11.0,Rondônia,2017,Frota,veículos,1.1.11. Motoneta,116635
225,11.0,Rondônia,2017,Frota,veículos,1.1.12. Ônibus,5953
226,11.0,Rondônia,2017,Frota,veículos,1.1.13. Quadriciclo,0
227,11.0,Rondônia,2017,Frota,veículos,1.1.14. Reboque,13715
228,11.0,Rondônia,2017,Frota,veículos,1.1.15. Semi-reboque,11690
229,11.0,Rondônia,2017,Frota,veículos,1.1.16. Sidecar,40
230,11.0,Rondônia,2017,Frota,veículos,1.1.17. Trator de esteira,1
231,11.0,Rondônia,2017,Frota,veículos,1.1.18. Trator de rodas,43
232,11.0,Rondônia,2017,Frota,veículos,1.1.19. Triciclo,320
233,11.0,Rondônia,2017,Frota,veículos,1.1.2. Bonde,0
234,11.0,Rondônia,2017,Frota,veículos,1.1.20. Utilitário,3426
235,11.0,Rondônia,2017,Frota,veículos,1.1.21. Outros,47
236,11.0,Rondônia,2017,Frota,veículos,1.1.3. Caminhão,30522
237,11.0,Rondônia,2017,Frota,veículos,1.1.4. Caminhão trator,6410
238,11.0,Rondônia,2017,Frota,veículos,1.1.5. Caminhonete,88034
239,11.0,Rondônia,2017,Frota,veículos,1.1.6. Camioneta,12094
240,11.0,Rondônia,2017,Frota,veículos,1.1.7. Chassi plataforma,8
